med_group,concept_id
ICS,40829910
ICS,40829912
ICS,40829914
ICS,40829959
ICS,40829964
ICS,40830080
ICS,40857397
ICS,40858662
ICS,40858664
ICS,40858682
ICS,40858986
ICS,40858988
ICS,40859200
ICS,40859201
ICS,40859636
ICS,40859894
ICS,40860215
ICS,40861078
ICS,40861079
ICS,40861080
ICS,40861081
ICS,40861083
ICS,40861084
ICS,40861085
ICS,40861115
ICS,40861116
ICS,40861119
ICS,40861120
ICS,40861121
ICS,40861123
ICS,40889949
ICS,40889974
ICS,40889975
ICS,40890299
ICS,40890301
ICS,40890302
ICS,40890303
ICS,40890957
ICS,40891135
ICS,40891443
ICS,40892322
ICS,40892354
ICS,40892355
ICS,40892356
ICS,40920952
ICS,40920977
ICS,40920980
ICS,40921262
ICS,40921946
ICS,40923366
ICS,40923371
ICS,40923407
ICS,40923408
ICS,40952095
ICS,40952434
ICS,40953061
ICS,40953062
ICS,40953323
ICS,40953645
ICS,40954602
ICS,40954603
ICS,40954606
ICS,40954607
ICS,40954608
ICS,40954610
ICS,40954611
ICS,40954612
ICS,40954614
ICS,40954638
ICS,40954639
ICS,40954643
ICS,40954645
ICS,40981958
ICS,40981959
ICS,40983274
ICS,40983794
ICS,40984816
ICS,40985730
ICS,40985731
ICS,40985732
ICS,40985733
ICS,40985735
ICS,40985772
ICS,40985777
ICS,40985778
ICS,41013254
ICS,41014533
ICS,41015450
ICS,41015491
ICS,41015662
ICS,41016364
ICS,41016828
ICS,41016829
ICS,41016830
ICS,41016832
ICS,41016835
ICS,41016838
ICS,41016839
ICS,41016878
ICS,41016880
ICS,41045692
ICS,41045709
ICS,41045988
ICS,41045989
ICS,41045990
ICS,41046598
ICS,41047221
ICS,41048137
ICS,41048138
ICS,41048140
ICS,41048142
ICS,41048143
ICS,41048145
ICS,41048146
ICS,41048147
ICS,41048148
ICS,41048149
ICS,41048151
ICS,41048193
ICS,41048195
ICS,41075742
ICS,41077085
ICS,41077392
ICS,41079519
ICS,41079520
ICS,41079521
ICS,41079557
ICS,41079558
ICS,41079560
ICS,41079562
ICS,41079668
ICS,41079670
ICS,41107191
ICS,41107193
ICS,41107194
ICS,41108464
ICS,41108465
ICS,41108482
ICS,41108483
ICS,41108484
ICS,41108485
ICS,41108808
ICS,41109258
ICS,41109531
ICS,41109688
ICS,41109689
ICS,41109991
ICS,41110448
ICS,41110881
ICS,41110882
ICS,41110883
ICS,41110889
ICS,41110890
ICS,41110892
ICS,41110927
ICS,41110928
ICS,41110930
ICS,41138637
ICS,41138638
ICS,41139836
ICS,41140142
ICS,41140143
ICS,41141043
ICS,41141358
ICS,41141359
ICS,41142336
ICS,41142337
ICS,41142338
ICS,41142340
ICS,41142341
ICS,41142345
ICS,41142346
ICS,41142347
ICS,41142348
ICS,41142349
ICS,41142381
ICS,41142382
ICS,41142384
ICS,41142385
ICS,41142387
ICS,41169743
ICS,41169744
ICS,41171316
ICS,41171317
ICS,41171318
ICS,41171319
ICS,41172154
ICS,41172155
ICS,41172469
ICS,41173385
ICS,41173386
ICS,41173387
ICS,41173388
ICS,41173389
ICS,41173390
ICS,41173392
ICS,41173426
ICS,41173427
ICS,41201158
ICS,41202459
ICS,41203632
ICS,41203976
ICS,41204863
ICS,41204914
