med_group,concept_id
LABA,36897977
LABA,36897978
LABA,36897979
LABA,36898126
LABA,36898127
LABA,36898128
LABA,36898129
LABA,37497328
LABA,42481318
LABA,42731565
LABA,42731618
LABA,43045403
LABA,43045404
LABA,43869051
LABA,43869173
LABA,43869529
LABA,43869865
LABA,44094568
LABA,44108666
LAMA,792483
LAMA,1366365
LAMA,1366367
LAMA,1366369
LAMA,1366371
LAMA,1366372
LAMA,36247872
LAMA,36248746
LAMA,37497328
SABA,36213198
SABA,36213199
SABA,36213200
SABA,36214218
SABA,36214219
SABA,36214222
SABA,36215321
SABA,36215322
SABA,36215519
SABA,36215520
SABA,36215521
SABA,36219299
SABA,36219300
SABA,36226210
SABA,36226211
SABA,36226690
SABA,36226691
SABA,36226692
SAMA,36215322
Systemic glucocorticosteroids,1594689
Systemic glucocorticosteroids,36211907
Systemic glucocorticosteroids,36211908
Systemic glucocorticosteroids,36212125
Systemic glucocorticosteroids,36212126
Systemic glucocorticosteroids,36212132
Systemic glucocorticosteroids,36212133
Systemic glucocorticosteroids,36212134
Systemic glucocorticosteroids,36212136
Systemic glucocorticosteroids,36212139
Systemic glucocorticosteroids,36212140
Systemic glucocorticosteroids,36212141
Systemic glucocorticosteroids,36212142
Systemic glucocorticosteroids,36212148
Systemic glucocorticosteroids,36212149
Systemic glucocorticosteroids,36212150
Systemic glucocorticosteroids,36212755
Systemic glucocorticosteroids,36212759
Systemic glucocorticosteroids,36212937
Systemic glucocorticosteroids,36213171
Systemic glucocorticosteroids,36213172
Systemic glucocorticosteroids,36213173
Systemic glucocorticosteroids,36213833
Systemic glucocorticosteroids,36213834
Systemic glucocorticosteroids,36213835
Systemic glucocorticosteroids,36213936
Systemic glucocorticosteroids,36213937
Systemic glucocorticosteroids,36213938
Systemic glucocorticosteroids,36213939
Systemic glucocorticosteroids,36213940
Systemic glucocorticosteroids,36213942
Systemic glucocorticosteroids,36213946
Systemic glucocorticosteroids,36213947
Systemic glucocorticosteroids,36213948
Systemic glucocorticosteroids,36213949
Systemic glucocorticosteroids,36213950
Systemic glucocorticosteroids,36213951
Systemic glucocorticosteroids,36214261
Systemic glucocorticosteroids,36214279
Systemic glucocorticosteroids,36215046
Systemic glucocorticosteroids,36215047
Systemic glucocorticosteroids,36215048
Systemic glucocorticosteroids,36215049
Systemic glucocorticosteroids,36215510
Systemic glucocorticosteroids,36216343
Systemic glucocorticosteroids,36216344
Systemic glucocorticosteroids,36216745
Systemic glucocorticosteroids,36216760
Systemic glucocorticosteroids,36218027
Systemic glucocorticosteroids,36218028
Systemic glucocorticosteroids,36218029
Systemic glucocorticosteroids,36218030
Systemic glucocorticosteroids,36218218
Systemic glucocorticosteroids,36218219
Systemic glucocorticosteroids,36218220
Systemic glucocorticosteroids,36218386
Systemic glucocorticosteroids,36218430
Systemic glucocorticosteroids,36218673
Systemic glucocorticosteroids,36220740
Systemic glucocorticosteroids,36220747
Systemic glucocorticosteroids,36220748
Systemic glucocorticosteroids,36220754
Systemic glucocorticosteroids,36220757
Systemic glucocorticosteroids,36220761
Systemic glucocorticosteroids,36220771
Systemic glucocorticosteroids,36220905
Systemic glucocorticosteroids,36220906
Systemic glucocorticosteroids,36220907
Systemic glucocorticosteroids,36223094
Systemic glucocorticosteroids,36223095
Systemic glucocorticosteroids,36223998
Systemic glucocorticosteroids,36224683
Systemic glucocorticosteroids,36224786
Systemic glucocorticosteroids,36224998
Systemic glucocorticosteroids,36225304
Systemic glucocorticosteroids,36227293
Systemic glucocorticosteroids,36227294
Systemic glucocorticosteroids,36227295
Systemic glucocorticosteroids,36247110
Systemic glucocorticosteroids,36247249
Systemic glucocorticosteroids,36247278
Systemic glucocorticosteroids,36248632
Systemic glucocorticosteroids,36248961
Systemic glucocorticosteroids,36897923
Systemic glucocorticosteroids,42543955
Systemic glucocorticosteroids,42708540
Systemic glucocorticosteroids,42708546
Systemic glucocorticosteroids,42731663
